波长nm	计数count
320.605	340
320.6519	0
320.6988	0
320.7457	0
320.7926	0
320.8395	0
320.8864	0
320.9333	0
320.9802	0
321.0271	0
321.074	0
321.1209	0
321.1678	0
321.2147	0
321.2616	0
321.3085	0
321.3554	0
321.4023	0
321.4492	0
321.4961	0
321.543	0
321.5899	0
321.6368	0
321.6837	0
321.7306	0
321.7775	0
321.8244	0
321.8713	0
321.9182	0
321.9651	0
322.012	0
322.0589	0
322.1058	0
322.1527	0
322.1996	0
322.2465	0
322.2934	0
322.3403	0
322.3872	0
322.4341	0
322.481	0
322.5279	0
322.5748	0
322.6217	0
322.6686	0
322.7155	0
322.7624	0
322.8093	0
322.8562	0
322.9031	0
322.95	730
322.95532	0
322.96064	0
322.96596	0
322.97128	0
322.9766	0
322.98192	0
322.98724	0
322.99256	0
322.99788	0
323.0032	0
323.00852	0
323.01384	0
323.01916	0
323.02448	0
323.0298	0
323.03512	0
323.04044	0
323.04576	0
323.05108	0
323.0564	0
323.06172	0
323.06704	0
323.07236	0
323.07768	0
323.083	0
323.08832	0
323.09364	0
323.09896	0
323.10428	0
323.1096	0
323.11492	0
323.12024	0
323.12556	0
323.13088	0
323.1362	0
323.14152	0
323.14684	0
323.15216	0
323.15748	0
323.1628	0
323.16812	0
323.17344	0
323.17876	0
323.18408	0
323.1894	0
323.19472	0
323.20004	0
323.20536	0
323.21068	0
323.216	680
323.24012	0
323.26424	0
323.28836	0
323.31248	0
323.3366	0
323.36072	0
323.38484	0
323.40896	0
323.43308	0
323.4572	0
323.48132	0
323.50544	0
323.52956	0
323.55368	0
323.5778	0
323.60192	0
323.62604	0
323.65016	0
323.67428	0
323.6984	0
323.72252	0
323.74664	0
323.77076	0
323.79488	0
323.819	0
323.84312	0
323.86724	0
323.89136	0
323.91548	0
323.9396	0
323.96372	0
323.98784	0
324.01196	0
324.03608	0
324.0602	0
324.08432	0
324.10844	0
324.13256	0
324.15668	0
324.1808	0
324.20492	0
324.22904	0
324.25316	0
324.27728	0
324.3014	0
324.32552	0
324.34964	0
324.37376	0
324.39788	0
324.422	440
324.46514	0
324.50828	0
324.55142	0
324.59456	0
324.6377	0
324.68084	0
324.72398	0
324.76712	0
324.81026	0
324.8534	0
324.89654	0
324.93968	0
324.98282	0
325.02596	0
325.0691	0
325.11224	0
325.15538	0
325.19852	0
325.24166	0
325.2848	0
325.32794	0
325.37108	0
325.41422	0
325.45736	0
325.5005	0
325.54364	0
325.58678	0
325.62992	0
325.67306	0
325.7162	0
325.75934	0
325.80248	0
325.84562	0
325.88876	0
325.9319	0
325.97504	0
326.01818	0
326.06132	0
326.10446	0
326.1476	0
326.19074	0
326.23388	0
326.27702	0
326.32016	0
326.3633	0
326.40644	0
326.44958	0
326.49272	0
326.53586	0
326.579	340
326.58766	0
326.59632	0
326.60498	0
326.61364	0
326.6223	0
326.63096	0
326.63962	0
326.64828	0
326.65694	0
326.6656	0
326.67426	0
326.68292	0
326.69158	0
326.70024	0
326.7089	0
326.71756	0
326.72622	0
326.73488	0
326.74354	0
326.7522	0
326.76086	0
326.76952	0
326.77818	0
326.78684	0
326.7955	0
326.80416	0
326.81282	0
326.82148	0
326.83014	0
326.8388	0
326.84746	0
326.85612	0
326.86478	0
326.87344	0
326.8821	0
326.89076	0
326.89942	0
326.90808	0
326.91674	0
326.9254	0
326.93406	0
326.94272	0
326.95138	0
326.96004	0
326.9687	0
326.97736	0
326.98602	0
326.99468	0
327.00334	0
327.012	440
327.04818	0
327.08436	0
327.12054	0
327.15672	0
327.1929	0
327.22908	0
327.26526	0
327.30144	0
327.33762	0
327.3738	0
327.40998	0
327.44616	0
327.48234	0
327.51852	0
327.5547	0
327.59088	0
327.62706	0
327.66324	0
327.69942	0
327.7356	0
327.77178	0
327.80796	0
327.84414	0
327.88032	0
327.9165	0
327.95268	0
327.98886	0
328.02504	0
328.06122	0
328.0974	0
328.13358	0
328.16976	0
328.20594	0
328.24212	0
328.2783	0
328.31448	0
328.35066	0
328.38684	0
328.42302	0
328.4592	0
328.49538	0
328.53156	0
328.56774	0
328.60392	0
328.6401	0
328.67628	0
328.71246	0
328.74864	0
328.78482	0
328.821	440
328.82724	0
328.83348	0
328.83972	0
328.84596	0
328.8522	0
328.85844	0
328.86468	0
328.87092	0
328.87716	0
328.8834	0
328.88964	0
328.89588	0
328.90212	0
328.90836	0
328.9146	0
328.92084	0
328.92708	0
328.93332	0
328.93956	0
328.9458	0
328.95204	0
328.95828	0
328.96452	0
328.97076	0
328.977	0
328.98324	0
328.98948	0
328.99572	0
329.00196	0
329.0082	0
329.01444	0
329.02068	0
329.02692	0
329.03316	0
329.0394	0
329.04564	0
329.05188	0
329.05812	0
329.06436	0
329.0706	0
329.07684	0
329.08308	0
329.08932	0
329.09556	0
329.1018	0
329.10804	0
329.11428	0
329.12052	0
329.12676	0
329.133	730
329.16212	0
329.19124	0
329.22036	0
329.24948	0
329.2786	0
329.30772	0
329.33684	0
329.36596	0
329.39508	0
329.4242	0
329.45332	0
329.48244	0
329.51156	0
329.54068	0
329.5698	0
329.59892	0
329.62804	0
329.65716	0
329.68628	0
329.7154	0
329.74452	0
329.77364	0
329.80276	0
329.83188	0
329.861	0
329.89012	0
329.91924	0
329.94836	0
329.97748	0
330.0066	0
330.03572	0
330.06484	0
330.09396	0
330.12308	0
330.1522	0
330.18132	0
330.21044	0
330.23956	0
330.26868	0
330.2978	0
330.32692	0
330.35604	0
330.38516	0
330.41428	0
330.4434	0
330.47252	0
330.50164	0
330.53076	0
330.55988	0
330.589	1100
330.6528	0
330.7166	0
330.7804	0
330.8442	0
330.908	0
330.9718	0
331.0356	0
331.0994	0
331.1632	0
331.227	0
331.2908	0
331.3546	0
331.4184	0
331.4822	0
331.546	0
331.6098	0
331.6736	0
331.7374	0
331.8012	0
331.865	0
331.9288	0
331.9926	0
332.0564	0
332.1202	0
332.184	0
332.2478	0
332.3116	0
332.3754	0
332.4392	0
332.503	0
332.5668	0
332.6306	0
332.6944	0
332.7582	0
332.822	0
332.8858	0
332.9496	0
333.0134	0
333.0772	0
333.141	0
333.2048	0
333.2686	0
333.3324	0
333.3962	0
333.46	0
333.5238	0
333.5876	0
333.6514	0
333.7152	0
333.779	390
333.78674	0
333.79448	0
333.80222	0
333.80996	0
333.8177	0
333.82544	0
333.83318	0
333.84092	0
333.84866	0
333.8564	0
333.86414	0
333.87188	0
333.87962	0
333.88736	0
333.8951	0
333.90284	0
333.91058	0
333.91832	0
333.92606	0
333.9338	0
333.94154	0
333.94928	0
333.95702	0
333.96476	0
333.9725	0
333.98024	0
333.98798	0
333.99572	0
334.00346	0
334.0112	0
334.01894	0
334.02668	0
334.03442	0
334.04216	0
334.0499	0
334.05764	0
334.06538	0
334.07312	0
334.08086	0
334.0886	0
334.09634	0
334.10408	0
334.11182	0
334.11956	0
334.1273	0
334.13504	0
334.14278	0
334.15052	0
334.15826	0
334.166	440
334.19836	0
334.23072	0
334.26308	0
334.29544	0
334.3278	0
334.36016	0
334.39252	0
334.42488	0
334.45724	0
334.4896	0
334.52196	0
334.55432	0
334.58668	0
334.61904	0
334.6514	0
334.68376	0
334.71612	0
334.74848	0
334.78084	0
334.8132	0
334.84556	0
334.87792	0
334.91028	0
334.94264	0
334.975	0
335.00736	0
335.03972	0
335.07208	0
335.10444	0
335.1368	0
335.16916	0
335.20152	0
335.23388	0
335.26624	0
335.2986	0
335.33096	0
335.36332	0
335.39568	0
335.42804	0
335.4604	0
335.49276	0
335.52512	0
335.55748	0
335.58984	0
335.6222	0
335.65456	0
335.68692	0
335.71928	0
335.75164	0
335.784	390
335.84908	0
335.91416	0
335.97924	0
336.04432	0
336.1094	0
336.17448	0
336.23956	0
336.30464	0
336.36972	0
336.4348	0
336.49988	0
336.56496	0
336.63004	0
336.69512	0
336.7602	0
336.82528	0
336.89036	0
336.95544	0
337.02052	0
337.0856	0
337.15068	0
337.21576	0
337.28084	0
337.34592	0
337.411	0
337.47608	0
337.54116	0
337.60624	0
337.67132	0
337.7364	0
337.80148	0
337.86656	0
337.93164	0
337.99672	0
338.0618	0
338.12688	0
338.19196	0
338.25704	0
338.32212	0
338.3872	0
338.45228	0
338.51736	0
338.58244	0
338.64752	0
338.7126	0
338.77768	0
338.84276	0
338.90784	0
338.97292	0
339.038	730
339.04678	0
339.05556	0
339.06434	0
339.07312	0
339.0819	0
339.09068	0
339.09946	0
339.10824	0
339.11702	0
339.1258	0
339.13458	0
339.14336	0
339.15214	0
339.16092	0
339.1697	0
339.17848	0
339.18726	0
339.19604	0
339.20482	0
339.2136	0
339.22238	0
339.23116	0
339.23994	0
339.24872	0
339.2575	0
339.26628	0
339.27506	0
339.28384	0
339.29262	0
339.3014	0
339.31018	0
339.31896	0
339.32774	0
339.33652	0
339.3453	0
339.35408	0
339.36286	0
339.37164	0
339.38042	0
339.3892	0
339.39798	0
339.40676	0
339.41554	0
339.42432	0
339.4331	0
339.44188	0
339.45066	0
339.45944	0
339.46822	0
339.477	340
339.53658	0
339.59616	0
339.65574	0
339.71532	0
339.7749	0
339.83448	0
339.89406	0
339.95364	0
340.01322	0
340.0728	0
340.13238	0
340.19196	0
340.25154	0
340.31112	0
340.3707	0
340.43028	0
340.48986	0
340.54944	0
340.60902	0
340.6686	0
340.72818	0
340.78776	0
340.84734	0
340.90692	0
340.9665	0
341.02608	0
341.08566	0
341.14524	0
341.20482	0
341.2644	0
341.32398	0
341.38356	0
341.44314	0
341.50272	0
341.5623	0
341.62188	0
341.68146	0
341.74104	0
341.80062	0
341.8602	0
341.91978	0
341.97936	0
342.03894	0
342.09852	0
342.1581	0
342.21768	0
342.27726	0
342.33684	0
342.39642	0
342.456	580
342.47786	0
342.49972	0
342.52158	0
