波长nm,计数count
459.5227074,-15.7574538
459.5246803,-34.74589322
459.526653,-10.73433265
459.5286254,-10.72277207
459.5305976,-18.7112115
459.5325696,-8.699650924
459.5345413,18.31190965
459.5365127,33.32347023
459.538484,50.3350308
459.5404549,82.34659138
459.5424257,82.35815195
459.5443962,50.36971253
459.5463664,44.3812731
459.5483364,57.39283368
459.5503062,67.40439425
459.5522757,75.41595483
459.5542449,72.4275154
459.556214,56.43907598
459.5581827,27.45063655
459.5601513,7.462197125
459.5621196,16.4737577
459.5640876,15.48531828
459.5660554,15.49687885
459.568023,8.508439425
459.5699903,-4.48
459.5719574,-16.46843943
459.5739242,-29.45687885
459.5758908,-33.44531828
459.5778572,-34.4337577
459.5798233,-35.42219713
459.5817891,-45.41063655
459.5837547,-48.39907598
459.5857201,-31.3875154
459.5876852,-33.37595483
459.5896501,-35.36439425
459.5916147,-24.35283368
459.5935791,-16.3412731
459.5955433,0.670287474
459.5975072,-3.318151951
459.5994709,-5.306591376
459.6014343,-5.295030801
459.6033975,-22.28347023
459.6053604,-21.27190965
459.6073231,-32.26034908
459.6092855,-43.2487885
459.6112477,-43.23722793
459.6132097,-18.22566735
459.6151714,-21.21410678
459.6171329,-38.2025462
459.6190941,-40.19098563
459.6210551,-36.17942505
459.6230158,-44.16786448
459.6249763,-31.1563039
459.6269366,-14.14474333
459.6288966,-12.13318275
459.6308563,-10.12162218
459.6328159,-29.1100616
459.6347751,-19.09850103
459.6367342,-0.086940452
459.638693,10.92462012
459.6406515,-1.063819302
459.6426098,-0.052258727
459.6445679,-15.04069815
459.6465257,-4.029137577
459.6485022,0.982422998
459.6504594,-26.00601643
459.6524163,-37.99445585
459.654373,-26.98289528
459.6563294,-13.9713347
459.6582856,-15.95977413
459.6602416,-1.948213552
459.6621973,15.06334702
459.6641527,20.0749076
459.666108,11.08646817
459.6680629,1.098028747
459.6700177,-6.890410678
459.6719722,5.121149897
459.6739264,-10.86728953
459.6758804,-13.85572895
459.6778342,-29.84416838
459.6797877,-40.8326078
459.681741,-27.82104723
459.683694,-33.80948665
459.6856468,-22.79792608
459.6875994,-23.7863655
459.6895517,-11.77480493
459.6915037,-9.763244353
459.6934556,-26.75168378
459.6954071,-32.7401232
459.6973585,-36.72856263
459.6993096,-17.71700205
459.7012604,-12.70544148
459.703211,-13.6938809
459.7051614,0.317679671
459.7071115,-3.670759754
459.7090614,10.34080082
459.711011,4.352361396
459.7129604,12.36392197
459.7149096,-4.624517454
459.7168585,-12.61295688
459.7188071,-20.6013963
459.7207556,-29.58983573
459.7227037,-8.578275154
459.7246517,-22.56671458
459.7265994,-19.555154
459.7285468,-12.54359343
459.730494,-26.53203285
459.732441,-27.52047228
459.7343877,-29.5089117
459.7363342,-39.49735113
459.7382804,-42.48579055
459.7402264,-9.474229979
459.7421722,-2.462669405
459.7441177,-10.45110883
459.7460629,3.560451745
459.7480079,8.57201232
459.7499527,12.5835729
459.7518973,19.59513347
459.7538415,20.60669405
459.7557856,13.61825462
459.7577294,11.6298152
459.759673,14.64137577
459.7616163,-3.347063655
459.7635593,-28.33550308
459.7655022,-38.32394251
459.7674448,-18.31238193
459.7693871,-9.300821355
459.7713292,6.71073922
459.7732711,-17.27770021
459.7752127,-3.26613963
459.777154,2.745420945
459.7790952,-26.24301848
459.7810361,-20.23145791
459.7829767,-11.21989733
459.7849171,5.791663244
459.7868573,24.80322382
459.7887972,48.81478439
459.7907368,19.82634497
459.7926763,-0.162094456
459.7946155,-12.15053388
