Ion   Ju     Eu(eV)         Jl      El(eV)          lambda(AA)     A(s^-1)       gf  
UII   5.5   5.2888         4.5     0.000             2348.895      1.455E+08  0.8270       
UII   5.5   5.1227         4.5     0.000             2419.574      4.593E+07  0.5769     
UII   6.5   5.6454         6.5     0.6852            2498.828      4.385E+07  0.5712 
UII   6.5   5.4769         5.5     0.5481            2514.77       5.214E+07  0.8025 
UII   6.5   5.4101         5.5     0.5481            2549.288      4.831E+07  0.7641 
UII   5.5   4.8489         4.5     0.000             2556.192      5.190E+07  0.7276 
UII   5.5   4.8315         4.5     0.000             2565.407      6.293E+07  0.8887 
UII   6.5   5.4769         7.5     0.6521            2568.978      4.355E+07  0.5247 
UII   3.5   4.8234         4.5     0.000             2569.708      1.254E+08  0.7898 
UII   3.5   4.7959         4.5     0.000             2584.416      8.010E+07  0.5102 
UII   6.5   5.4101         5.5     0.7179            2641.563      4.196E+07  0.7125 
UII   4.5   4.6853         4.5     0.000             2645.472      7.899E+07  0.8237 
UII   3.5   4.7959         4.5     0.1134            2647.017      4.454E+07  0.2976 
UII   4.5   4.7147         5.5     0.03584           2649.064      7.414E+07  0.6460 
UII   5.5   4.6614         4.5     0.000             2659.023      2.261E+07  0.3430 
UII   4.5   4.6853         5.5     0.03584           2665.863      4.815E+07  0.4249 
UII   5.5   4.8489         6.5     0.2169            2675.876      5.128E+07  0.5627 
UII   6.5   5.4101         6.5     0.7790            2676.416      8.240E+07  1.231  
UII   6.5   5.6454         6.5     1.026             2683.282      1.442E+08  2.166  
UII   5.5   4.8315         6.5     0.2169            2685.976      6.904E+07  0.7634 
UII   6.5   5.6454         7.5     1.041             2691.781      8.398E+07  1.111  
UII   5.5   5.1227         5.5     0.5481            2709.506      5.091E+07  0.6683 
UII   4.5   4.6853         4.5     0.1134            2711.103      3.289E+07  0.3602 
UII   5.5   4.8489         5.5     0.2845            2715.534      3.881E+07  0.5117 
UII   5.5   4.8315         5.5     0.2845            2725.936      4.261E+07  0.5661 
UII   6.5   4.5605         5.5     0.03584           2739.39       2.684E+07  0.4902 
UII   7.5   4.7304         6.5     0.2169            2746.159      2.518E+07  0.5174 
UII   4.5   4.4821         4.5     0.000             2765.397      4.323E+07  0.4926 
UII   6.5   5.6454         5.5     1.184             2778.481      5.441E+07  1.022  
UII   4.5   4.4585         4.5     0.000             2780.032      4.114E+07  0.4738 
UII   6.5   5.4769         6.5     1.026             2784.908      5.363E+07  0.8676 
UII   4.5   4.4585         5.5     0.03584           2802.559      9.513E+07  0.9277 
UII   7.5   4.6256         6.5     0.2169            2811.383      3.166E+07  0.6818 
UII   6.5   4.4374         5.5     0.03584           2815.986      2.331E+07  0.4498 
UII   5.5   4.4244         5.5     0.03584           2824.365      4.484E+07  0.6395 
UII   4.5   4.4821         4.5     0.1134            2837.193      5.484E+07  0.6577 
UII   5.5   4.4004         5.5     0.03584           2839.892      4.686E+07  0.6757 
UII   6.5   5.4101         5.5     1.055             2846.149      4.697E+07  0.9259 
UII   6.5   4.5605         6.5     0.2169            2853.565      3.192E+07  0.5423 
UII   3.5   4.3331         4.5     0.000             2860.466      7.612E+07  0.5939 
UII   7.5   4.8984         6.5     0.5685            2862.615      2.520E+07  0.5627 
UII   5.5   4.3252         4.5     0.000             2865.681      4.979E+07  0.8772 
UII   5.5   4.4244         4.5     0.1134            2875.194      2.876E+07  0.5102 
UII   6.5   4.3300         5.5     0.03584           2886.445      2.161E+07  0.4382 
